date,indicator_id,value
2015-01-31,PMI_MFG,50.018
2015-02-28,PMI_MFG,49.8141
2015-03-31,PMI_MFG,50.2593
2015-04-30,PMI_MFG,50.6888
2015-05-31,PMI_MFG,50.325
2015-06-30,PMI_MFG,50.4442
2015-07-31,PMI_MFG,50.7002
2015-08-31,PMI_MFG,51.2529
2015-09-30,PMI_MFG,50.7286
2015-10-31,PMI_MFG,51.0353
2015-11-30,PMI_MFG,51.0144
2015-12-31,PMI_MFG,51.2035
2016-01-31,PMI_MFG,51.0718
2016-02-29,PMI_MFG,50.7503
2016-03-31,PMI_MFG,50.742
2016-04-30,PMI_MFG,50.7564
2016-05-31,PMI_MFG,51.2904
2016-06-30,PMI_MFG,50.7856
2016-07-31,PMI_MFG,50.7025
2016-08-31,PMI_MFG,50.6716
2016-09-30,PMI_MFG,50.6363
2016-10-31,PMI_MFG,50.5315
2016-11-30,PMI_MFG,50.7927
2016-12-31,PMI_MFG,50.3718
2017-01-31,PMI_MFG,50.5145
2017-02-28,PMI_MFG,50.0547
2017-03-31,PMI_MFG,49.8678
2017-04-30,PMI_MFG,49.9226
2017-05-31,PMI_MFG,50.1799
2017-06-30,PMI_MFG,50.0165
2017-07-31,PMI_MFG,49.5407
2017-08-31,PMI_MFG,49.5562
2017-09-30,PMI_MFG,49.3295
2017-10-31,PMI_MFG,49.1383
2017-11-30,PMI_MFG,49.5943
2017-12-31,PMI_MFG,49.1739
2018-01-31,PMI_MFG,49.4819
2018-02-28,PMI_MFG,49.5526
2018-03-31,PMI_MFG,49.8992
2018-04-30,PMI_MFG,49.0165
2018-05-31,PMI_MFG,49.8809
2018-06-30,PMI_MFG,50.3101
2018-07-31,PMI_MFG,49.7291
2018-08-31,PMI_MFG,50.0765
2018-09-30,PMI_MFG,49.6883
2018-10-31,PMI_MFG,50.1692
2018-11-30,PMI_MFG,49.885
2018-12-31,PMI_MFG,50.2341
2019-01-31,PMI_MFG,50.0214
2019-02-28,PMI_MFG,50.098
2019-03-31,PMI_MFG,50.5733
2019-04-30,PMI_MFG,50.741
2019-05-31,PMI_MFG,50.2209
2019-06-30,PMI_MFG,50.8149
2019-07-31,PMI_MFG,50.8414
2019-08-31,PMI_MFG,50.3107
2019-09-30,PMI_MFG,51.1116
2019-10-31,PMI_MFG,50.8515
2019-11-30,PMI_MFG,50.567
2019-12-31,PMI_MFG,50.5631
2020-01-31,PMI_MFG,50.9079
2020-02-29,PMI_MFG,51.0773
2020-03-31,PMI_MFG,50.8619
2020-04-30,PMI_MFG,50.7902
2020-05-31,PMI_MFG,50.581
2020-06-30,PMI_MFG,50.8474
2020-07-31,PMI_MFG,51.0828
2020-08-31,PMI_MFG,50.8167
2020-09-30,PMI_MFG,50.9273
2020-10-31,PMI_MFG,50.079
2020-11-30,PMI_MFG,50.1966
2020-12-31,PMI_MFG,50.7157
2021-01-31,PMI_MFG,49.7402
2021-02-28,PMI_MFG,50.5102
2021-03-31,PMI_MFG,50.0734
2021-04-30,PMI_MFG,49.9573
2021-05-31,PMI_MFG,50.1038
2021-06-30,PMI_MFG,49.8935
2021-07-31,PMI_MFG,50.2152
2021-08-31,PMI_MFG,49.8498
2021-09-30,PMI_MFG,49.4902
